2026-04-24 08:52:25,292 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [1.1154039 0.2385636 0.55     ] | Goal: [1.12148359 0.38673931 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,329 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.82590948 0.34504232 0.55      ] | Goal: [1.07434268 0.21798933 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,375 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.99697735 0.11972648 0.55      ] | Goal: [0.6805824  0.46842286 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,408 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [1.05329786 0.44873253 0.55      ] | Goal: [1.13410676 0.05683397 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,445 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.67203238 0.46647915 0.55      ] | Goal: [0.81929327 0.14291596 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,502 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.75396403 0.41556419 0.55      ] | Goal: [0.99653021 0.26651967 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,547 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.987637   0.53431309 0.55      ] | Goal: [1.04619612 0.13221779 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,585 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.66255361 0.27491063 0.55      ] | Goal: [0.94159241 0.45318851 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,648 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [0.99328283 0.09050488 0.55      ] | Goal: [0.70989292 0.02055062 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,684 - [ENV] - --- EPISODE START | Scenario: TRANSIT | Start: [1.09379735 0.00631854 0.55      ] | Goal: [0.86514835 0.46231941 0.55      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,779 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [1.11036944 0.32373638 0.55      ] | Goal: [1.11036944 0.32373638 0.41      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,817 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [0.97535864 0.48550667 0.55      ] | Goal: [0.97535864 0.48550667 0.41      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,856 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [1.14817662 0.01846936 0.55      ] | Goal: [1.14817662 0.01846936 0.41      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,888 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [0.96409956 0.15584361 0.55      ] | Goal: [0.96409956 0.15584361 0.41      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,925 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [1.10019069 0.16960567 0.55      ] | Goal: [1.10019069 0.16960567 0.415     ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:25,959 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [0.91758963 0.35034061 0.55      ] | Goal: [0.91758963 0.35034061 0.415     ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
2026-04-24 08:52:26,003 - [ENV] - --- EPISODE START | Scenario: DESCEND | Start: [1.01865211 0.28949564 0.55      ] | Goal: [1.01865211 0.28949564 0.41      ] | DriftLimit: 0.0800 | FloorLimit: 0.4500 ---
